time,voltage,prim,bis,channel,stim
0.0858,1.8569097837270706e-05,-3.491147318472387e-07,2.632142468456522e-07,0,a
0.0859,1.627307520956252e-05,5.152669718332658e-07,-3.365881688286961e-07,0,a
0.086,1.8336401465437556e-05,-5.426759812406953e-07,1.9808137055713886e-07,0,a
0.0861,1.6941069893548617e-05,2.451293798241778e-07,-2.781433011141692e-07,0,a
0.0862,1.7008463349035054e-05,-3.1916293150924187e-07,2.5878715459105763e-07,0,a
0.0863,1.737891267090983e-05,2.3368548253247757e-07,-2.3829999787093265e-08,0,a
0.0864,1.7642126341146053e-05,1.7363938046289804e-07,3.2085826966975705e-07,0,a
0.0865,1.7529381490423745e-05,6.434118775000292e-07,-1.8173973973615521e-07,0,a
0.0866,1.9309148303409925e-05,-3.115337366759881e-07,1.370454465743557e-08,0,a
0.0867,1.670752513111809e-05,2.1475301443520475e-07,-5.083434458796577e-07,0,a
0.0868,1.8173640533729352e-05,-8.816184601389437e-07,2.620838196975678e-07,0,a
0.0869,1.6664292922993094e-05,4.747177224167152e-07,-1.4166169173765464e-07,0,a
0.087,1.8131678298368238e-05,-2.1023206077775916e-07,4.2366661008485287e-07,0,a
0.0871,1.7542944351396075e-05,3.893813701156149e-07,-1.9779904749077533e-07,0,a
0.0872,1.783243703333994e-05,-1.186794200556108e-07,1.5739148018207704e-07,0,a
0.0873,1.7775640038201405e-05,2.61942379768472e-07,1.2527467767047722e-08,0,a
0.0874,1.8328771490701494e-05,4.269637734167581e-07,1.5065704624541123e-07,0,a
0.0875,1.9113328353590213e-05,3.332917186806228e-07,-1.6817613609255606e-07,0,a
0.0876,1.8775515194243274e-05,-2.4258602850919613e-07,-3.8627352808796015e-07,0,a
0.0877,1.76010134051739e-05,-7.318568108471223e-07,-2.255852120061804e-07,0,a
0.0878,1.6917757921048846e-05,-3.4346391733791834e-07,1.7359208397991092e-07,0,a
0.0879,1.7745123442229522e-05,2.781902234305366e-07,4.987835024737234e-07,0,a
0.088,1.8435584075465512e-05,7.644936965740478e-07,2.9321348066353256e-07,0,a
0.0881,1.9211239010770983e-05,5.361765246526796e-07,2.2323117097221576e-08,0,a
0.0882,1.9353653016187568e-05,3.4515957472220125e-07,-4.857381788039915e-07,0,a
0.0883,1.947106279963211e-05,-6.927208398379265e-07,-4.168849493055146e-07,0,a
0.0884,1.7133076491257203e-05,-7.144783232638642e-07,-1.387892345416527e-07,0,a
0.0885,1.7210218046395975e-05,-7.120812890275681e-08,3.970111357098591e-07,0,a
0.0886,1.9257438412923846e-05,4.983125672916507e-07,5.259100697654019e-07,0,a
0.0887,1.8628014193132155e-05,8.632518860323414e-07,-9.164667650775265e-08,0,a
0.0888,1.9799973704492996e-05,-3.4614815842601475e-07,-1.2800427182097984e-07,0,a
0.0889,1.8218993937645798e-05,1.1429975182871116e-07,-3.0409269875920385e-07,0,a
0.089,1.8970913448618296e-05,-4.9026210245270115e-08,2.19886576399722e-07,0,a
0.0891,1.965289507375718e-05,3.135115707731512e-07,6.456717704472618e-08,0,a
0.0892,1.9159528649965252e-05,3.0800128296288974e-07,-7.139586798152252e-08,0,a
0.0893,1.989491729750697e-05,-2.6321381418983766e-07,1.5305863319452836e-08,0,a
0.0894,1.886325363118766e-05,3.5942916073150973e-07,-7.34210989721974e-08,0,a
0.0895,2.0237816132159788e-05,8.773798604629751e-08,1.982228353966209e-07,0,a
0.0896,2.0158131255645857e-05,3.314546920000251e-07,-1.1919753011266194e-07,0,a
0.0897,1.9857617707187737e-05,1.8365703935239043e-09,-1.6502093083640905e-07,0,a
0.0898,2.0243325843340363e-05,-4.0732480646292965e-07,-2.2040482140463248e-08,0,a
0.0899,1.8936156836257065e-05,2.6533324557863534e-07,-2.8253261572361473e-10,0,a
0.09,2.065361744392364e-05,9.889725463530733e-10,2.1489461043363003e-07,0,a
0.0901,2.0246292760979422e-05,2.3735902483796044e-07,-1.3082995765578936e-07,0,a
0.0902,1.9648233910770953e-05,-1.2715662738873278e-07,3.20250558174425e-09,0,a
0.0903,2.0272147561757435e-05,1.0596489291585823e-08,3.235413366512019e-08,0,a
0.0904,2.0278082228854183e-05,3.34421425833321e-07,1.9681025566812746e-07,0,a
0.0905,2.0651498188270913e-05,4.6327413961564956e-07,-7.723604378073066e-09,0,a
0.0906,2.1661969980604377e-05,-1.257432384263327e-08,-7.205389552472077e-09,0,a
0.0907,2.0240359257326297e-05,3.128052571759047e-07,-3.4242818027003177e-07,0,a
0.0908,2.1589913959798623e-05,-5.640104011944457e-07,2.3924281779331784e-08,0,a
0.0909,1.9969938777021043e-05,5.9198521495362055e-08,-3.065415654938075e-07,0,a
0.091,2.041795482181238e-05,-6.068194393055177e-07,3.3734179191974206e-07,0,a
0.0911,1.9769455641882067e-05,4.480149745647805e-07,-3.4191014395046256e-08,0,a
0.0912,2.1313983700715385e-05,-4.3374521689776714e-08,1.753819815077023e-07,0,a
0.0913,2.0287831256743056e-05,-8.067349478241081e-08,-2.631198392391606e-07,0,a
0.0914,1.952743515753482e-05,-3.413445431527013e-07,-4.455185048150406e-08,0,a
0.0915,2.028995007125729e-05,-1.770300731342889e-07,8.067369360493662e-08,0,a
0.0916,1.9756741037340186e-05,1.613475860323991e-07,1.0586964474687015e-07,0,a
0.0917,2.0011477915632025e-05,-2.3735608912090877e-08,1.0916613389509376e-07,0,a
0.0918,2.0218743244521018e-05,1.5046832855099236e-07,-1.1783181987039074e-07,0,a
0.0919,2.0208146022993156e-05,-1.921478735787731e-07,6.428458005711649e-08,0,a
0.092,1.9435034294895712e-05,1.691181312592586e-07,-1.725089255817916e-07,0,a
0.0921,2.072609763829879e-05,-3.670584481943825e-07,2.570918320695026e-07,0,a
0.0922,1.910697067841001e-05,5.791276226297348e-07,-1.9355996853392686e-08,0,a
0.0923,2.1172417162784913e-05,1.110501406990805e-07,2.6067078398142886e-07,0,a
0.0924,2.1059248060396046e-05,4.149539037499041e-07,-2.6057680403091397e-07,0,a
0.0925,2.0351832389659718e-05,-2.026027894630071e-07,-1.238614745213763e-08,0,a
0.0926,2.0564608794395885e-05,7.38916983426676e-08,1.276298756642455e-08,0,a
0.0927,2.1280923155424045e-05,4.532428664491778e-07,5.3829537175957676e-08,0,a
0.0928,2.171156098900725e-05,-4.11141779351341e-08,-1.610647155201116e-07,0,a
0.0929,2.0441266260590497e-05,-4.0930244821766717e-07,-1.3459770907260838e-07,0,a
0.093,2.0053015810771033e-05,4.9449739231352665e-08,3.202469897991749e-08,0,a
0.0931,2.1859910206701312e-05,5.495991900461832e-08,4.136824684197726e-07,0,a
0.0932,2.060614601760435e-05,8.317449570416507e-07,-1.1524138537956914e-07,0,a
0.0933,2.2548250681895985e-05,-2.962744169073548e-07,1.817872193827789e-08,0,a
0.0934,2.0971086955979248e-05,1.0949608481945202e-07,-3.9757608141049013e-07,0,a
0.0935,2.0934634272062694e-05,-3.609832871898197e-07,8.575975193208102e-08,0,a
0.0936,2.1465300820326533e-05,-3.899516111111176e-08,1.4090825517128452e-07,0,a
0.0937,2.0854101472645913e-05,5.322208503333056e-07,2.3458032646295657e-07,0,a
0.0938,2.2531296823062607e-05,3.4275769219904996e-07,8.698479276544088e-08,0,a
0.0939,2.2493573896923693e-05,2.2195921718521088e-07,-2.735751075833088e-07,0,a
0.094,2.1519979124201545e-05,-2.8850447241662077e-07,-2.5497261505864075e-07,0,a
0.0941,2.1665783405812738e-05,-4.2216015297687234e-07,-3.3249311572552e-08,0,a
0.0942,2.122709343799308e-05,1.222112824675549e-07,1.9035828365584155e-07,0,a
0.0943,2.1886612971604214e-05,2.8257037855090384e-07,4.1005661509721663e-07,0,a
0.0944,2.2513494541465443e-05,8.080096923147775e-07,8.213381610649997e-08,0,a
0.0945,2.365112251493742e-05,3.6861273078705493e-07,-7.718879292745092e-08,0,a
0.0946,2.299245116396538e-05,5.100399976855092e-08,-3.306543420894649e-07,0,a
0.0947,2.2666506540771103e-05,-1.8395333395361708e-07,-2.612360219135744e-07,0,a
0.0948,2.3099262513076554e-05,-4.1509533495366833e-07,-2.505464226857507e-08,0,a
0.0949,2.1747165159104377e-05,-2.415992703717429e-08,-1.9271276743521216e-07,0,a
0.095,2.259402675965958e-05,-7.620916362592535e-07,2.4856741445986795e-07,0,a
0.0951,2.0812987604298787e-05,3.306069084259355e-07,-4.21028348456121e-08,0,a
0.0952,2.2738985884382193e-05,-1.5046843157401053e-07,5.130532818641887e-07,0,a
0.0953,2.2142621464937548e-05,7.770682093333125e-07,-2.3641518399708197e-08,0,a
0.0954,2.314419223229871e-05,2.5968235322681093e-07,4.412791380398992e-08,0,a
0.0955,2.3518032944062647e-05,-1.8084690162040824e-08,-3.90888920916684e-07,0,a
0.0956,2.208836739445142e-05,-3.955985534167396e-07,-1.6360825134103095e-07,0,a
0.0957,2.1957396572048495e-05,-2.3114240079628198e-07,4.723642219137784e-08,0,a
0.0958,2.282460574167379e-05,1.2362457641209272e-07,1.902169298935553e-07,0,a
0.0959,2.245924112368771e-05,1.7505223626392634e-07,1.8691993995677766e-07,0,a
0.096,2.248255328084027e-05,3.2961741907405097e-07,-1.2809812442950797e-08,0,a
0.0961,2.3813457998895933e-05,8.519513908324035e-08,-1.6958909558332133e-07,0,a
0.0962,2.271482654093744e-05,-3.337150504860377e-07,-1.969511896990807e-07,0,a
0.0963,2.148140812938215e-05,-2.612361500231911e-07,-4.841366833481631e-08,0,a
0.0964,2.3029749548826367e-05,-6.004586592120857e-08,2.916593728626299e-07,0,a
0.0965,2.2534688943173802e-05,5.41263068101852e-07,4.860211823308636e-08,0,a
0.0966,2.310519733368771e-05,-1.1542979532393205e-07,1.4731300100150914e-07,0,a
0.0967,2.268346016285457e-05,3.818931370833189e-07,-3.0512871218672875e-07,0,a
0.0968,2.3680368354423756e-05,-3.741230684583344e-07,2.1710852237575928e-08,0,a
0.0969,2.198282812831271e-05,-5.0297238611204264e-08,-3.9964818379165174e-07,0,a
0.097,2.2532568447020968e-05,-8.170514142916363e-07,4.23714090492276e-07,0,a
